HUC8,UNCLASSIFIED,OPEN_WATER,PERENNIAL_SNOW_I,DEVELOPED__OPEN_,DEVELOPED__LOW_I,DEVELOPED__MEDIU,DEVELOPED__HIGH_,BARREN_LAND,DECIDUOUS_FOREST,EVERGREEN_FOREST,MIXED_FOREST,SHRUB_SCRUB,HERBACEUOUS,HAY_PASTURE,CULTIVATED_CROPS,WOODY_WETLANDS,EMERGENT_HERBACE,TOTAL,AREA_INSIDE_US,UNCLASSIFIED_NLCD06,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,SNOWICENLCD06,DEVOPENNLCD06,DEVLOWNLCD06,DEVMEDNLCD06,DEVHINLCD06,BARRENNLCD06,DECIDNLCD06,EVERGRNLCD06,MIXEDFORNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,WOODYWETNLCD06,EMERGWETNLCD06,Location
10270202,0.00,38322000.00,0.00,129828600.00,36143100.00,6759900.00,2882700.00,233100.00,130990500.00,441000.00,2996100.00,429300.00,612866700.00,87525000.00,2212568100.00,9909000.00,1145700.00,3273040800.00,3273040800.00,0.00,5.37,4.11,70.27,1.17,0.00,3.97,1.10,0.21,0.09,0.01,4.00,0.01,0.09,0.01,18.72,2.67,67.60,0.30,0.04,Within USA
10270203,0.00,30202200.00,0.00,145950300.00,40150800.00,8244000.00,3052800.00,151200.00,47384100.00,0.00,0.00,4500.00,276066000.00,5435100.00,2893071600.00,10900800.00,10087200.00,3470700600.00,3470700600.00,0.00,5.69,1.37,83.51,0.87,0.00,4.21,1.16,0.24,0.09,0.00,1.37,0.00,0.00,0.00,7.95,0.16,83.36,0.31,0.29,Within USA
15010011,0.00,5835600.00,0.00,24664500.00,8244900.00,4390200.00,221400.00,11702700.00,1296900.00,1238643000.00,4055400.00,5824658700.00,235332900.00,44379000.00,15576300.00,6264000.00,22008600.00,7447274100.00,7447274100.00,0.00,0.50,16.70,0.81,0.08,0.00,0.33,0.11,0.06,0.00,0.16,0.02,16.63,0.05,78.21,3.16,0.60,0.21,0.08,0.30,Within USA
15010013,0.00,702900.00,0.00,19673100.00,3422700.00,3164400.00,45900.00,16190100.00,989100.00,2279952000.00,978300.00,3846037500.00,344779200.00,43129800.00,819000.00,6776100.00,3446100.00,6570106200.00,6570106200.00,0.00,0.40,34.73,0.67,0.01,0.00,0.30,0.05,0.05,0.00,0.25,0.02,34.70,0.01,58.54,5.25,0.66,0.01,0.10,0.05,Within USA
15010015,0.00,2074500.00,0.00,109479600.00,243492300.00,396622800.00,135804600.00,253146600.00,756000.00,355239900.00,6836400.00,3324307500.00,33197400.00,277200.00,76500.00,3384900.00,750600.00,4865446800.00,4865446800.00,0.00,18.20,7.46,0.01,0.04,0.00,2.25,5.00,8.15,2.79,5.20,0.02,7.30,0.14,68.32,0.68,0.01,0.00,0.07,0.02,Within USA
16020307,0.00,1626300.00,0.00,7189200.00,3069000.00,36900.00,7200.00,3785400.00,1709100.00,381399300.00,0.00,3511389600.00,19948500.00,35793900.00,531900.00,3969000.00,882900.00,3971338200.00,3971338200.00,0.00,0.26,9.65,0.91,0.04,0.00,0.18,0.08,0.00,0.00,0.10,0.04,9.60,0.00,88.42,0.50,0.90,0.01,0.10,0.02,Within USA
16040101,0.00,5108400.00,0.00,73059300.00,19750500.00,2556900.00,78300.00,26127000.00,174044700.00,159138000.00,2700900.00,5832849600.00,464492700.00,221557500.00,10461600.00,135706500.00,5374800.00,7133006700.00,7133006700.00,0.00,1.34,4.71,3.25,0.07,0.00,1.02,0.28,0.04,0.00,0.37,2.44,2.23,0.04,81.77,6.51,3.11,0.15,1.90,0.08,Within USA
16040102,0.00,1238400.00,0.00,8637300.00,2283300.00,759600.00,26100.00,431100.00,7907400.00,4933800.00,0.00,2488433400.00,23880600.00,2013300.00,232200.00,44856900.00,915300.00,2586548700.00,2586548700.00,0.00,0.45,0.50,0.09,0.05,0.00,0.33,0.09,0.03,0.00,0.02,0.31,0.19,0.00,96.21,0.92,0.08,0.01,1.73,0.04,Within USA
16040103,0.00,7029000.00,0.00,38378700.00,524700.00,259200.00,0.00,7294500.00,117346500.00,215392500.00,2007900.00,2403160200.00,465678900.00,81128700.00,123300.00,42534900.00,1929600.00,3382788600.00,3382788600.00,0.00,1.16,9.90,2.40,0.21,0.00,1.13,0.02,0.01,0.00,0.22,3.47,6.37,0.06,71.04,13.77,2.40,0.00,1.26,0.06,Within USA
16040105,0.00,10885500.00,0.00,29864700.00,5373900.00,957600.00,14400.00,122958000.00,7345800.00,203240700.00,0.00,6237261900.00,1306515600.00,78008400.00,23388300.00,259088400.00,1149300.00,8286052500.00,8286052500.00,0.00,0.44,2.54,1.22,0.13,0.00,0.36,0.06,0.01,0.00,1.48,0.09,2.45,0.00,75.27,15.77,0.94,0.28,3.13,0.01,Within USA
16040106,0.00,823500.00,0.00,2900700.00,4500.00,0.00,0.00,567000.00,16880400.00,2539800.00,0.00,2064867300.00,212913900.00,10468800.00,1344600.00,34836300.00,1147500.00,2349294300.00,2349294300.00,0.00,0.12,0.83,0.50,0.04,0.00,0.12,0.00,0.00,0.00,0.02,0.72,0.11,0.00,87.89,9.06,0.45,0.06,1.48,0.05,Within USA
16040107,0.00,656100.00,0.00,36104400.00,5762700.00,1460700.00,7200.00,20824200.00,14049000.00,923067900.00,2898000.00,4562347500.00,438754500.00,101649600.00,19201500.00,32121900.00,1423800.00,6160329000.00,6160329000.00,0.00,0.70,15.26,1.96,0.01,0.00,0.59,0.09,0.02,0.00,0.34,0.23,14.98,0.05,74.06,7.12,1.65,0.31,0.52,0.02,Within USA
16040108,0.00,48435300.00,0.00,70881300.00,28656000.00,7765200.00,688500.00,167915700.00,4302000.00,82638000.00,18000.00,4903011000.00,1014495300.00,93226500.00,135343800.00,74423700.00,86374800.00,6718175100.00,6718175100.00,0.00,1.61,1.29,3.40,0.72,0.00,1.06,0.43,0.12,0.01,2.50,0.06,1.23,0.00,72.98,15.10,1.39,2.01,1.11,1.29,Within USA
16040109,0.00,4114800.00,0.00,18375300.00,4896000.00,43200.00,0.00,2853000.00,12895200.00,19548900.00,0.00,3707606700.00,589696200.00,172975500.00,34182000.00,44047800.00,1736100.00,4612970700.00,4612970700.00,0.00,0.51,0.70,4.49,0.09,0.00,0.40,0.11,0.00,0.00,0.06,0.28,0.42,0.00,80.37,12.78,3.75,0.74,0.95,0.04,Within USA
16040202,0.00,3932100.00,0.00,9152100.00,3575700.00,261000.00,214200.00,1543894200.00,87300.00,55935900.00,2052000.00,6557168700.00,235369800.00,48261600.00,8396100.00,9268200.00,4118400.00,8481687300.00,8481687300.00,0.00,0.16,0.68,0.67,0.05,0.00,0.11,0.04,0.00,0.00,18.20,0.00,0.66,0.02,77.31,2.78,0.57,0.10,0.11,0.05,Within USA
16050103,0.00,478589400.00,0.00,4685400.00,5949900.00,1740600.00,690300.00,148328100.00,301500.00,18359100.00,186300.00,2837890800.00,66375900.00,6197400.00,7776900.00,4601700.00,6154200.00,3587827500.00,3587827500.00,0.00,0.36,0.53,0.39,13.34,0.00,0.13,0.17,0.05,0.02,4.13,0.01,0.51,0.01,79.10,1.85,0.17,0.22,0.13,0.17,Within USA
